device_id,user_id,device_type,model,firmware_version,battery_pct,first_seen_ts,last_seen_ts,last_sync_ts
10a48f9e-5b23-480d-82f5-e4f4b3ca4402,572de671-d8a1-4492-86db-43e930c298f6,ring,Oura-Gen3,3.3.2,95,2025-01-14 21:44:08.904265+00:00,2025-06-12 07:06:32.010147+00:00,2025-06-12 06:45:32.010147+00:00
a94a5546-3fa0-41b4-a749-378e9ebb8dbf,a8d4dae1-32e9-4e43-806a-37bb4f2324c3,watch,Fitbit-Charge,2.0.0,82,2025-01-03 20:26:14.904265+00:00,2025-06-12 07:06:32.010147+00:00,2025-06-12 06:23:32.010147+00:00
f486987f-48b4-4e1a-9ae9-df8f9e950f09,a8d4dae1-32e9-4e43-806a-37bb4f2324c3,watch,Fitbit-Charge,3.8.4,99,2025-01-03 20:26:14.904265+00:00,2025-06-12 07:06:32.010147+00:00,2025-06-12 06:47:32.010147+00:00
228c94b4-07c6-4334-96c3-dae2367f9e08,bbf1a40a-a6bf-4b4b-b420-88908fa81bca,ring,Oura-Gen3,2.8.4,50,2025-01-19 13:10:46.905293+00:00,2025-06-12 07:06:32.010147+00:00,2025-06-12 06:52:32.010147+00:00
3b308117-9370-4594-9dfd-40128fa14d90,bbf1a40a-a6bf-4b4b-b420-88908fa81bca,band,Whoop-4.0,1.9.7,93,2025-01-19 13:10:46.905293+00:00,2025-06-12 07:06:32.010147+00:00,2025-06-12 06:53:32.010147+00:00
69463749-ea63-4726-8bef-da4ce5f0aaba,bbf1a40a-a6bf-4b4b-b420-88908fa81bca,ring,Oura-Gen3,3.5.6,21,2025-01-19 13:10:46.905293+00:00,2025-06-12 07:06:32.010147+00:00,2025-06-12 06:32:32.010147+00:00
f1023edd-8c7d-4cae-b4f7-af320f736647,644a4d47-5908-4aee-b002-5e42d2a0e063,ring,Oura-Gen3,1.4.5,71,2024-11-14 23:30:50.905293+00:00,2025-06-12 07:06:32.010147+00:00,2025-06-12 06:57:32.010147+00:00
fd7c0dc7-750d-4908-befd-e2dafe33e562,644a4d47-5908-4aee-b002-5e42d2a0e063,ring,Oura-Gen3,1.3.8,61,2024-11-14 23:30:50.905293+00:00,2025-06-12 07:06:32.010147+00:00,2025-06-12 07:05:32.010147+00:00
dd096db1-75a9-463c-a72c-ecbb08c2e622,644a4d47-5908-4aee-b002-5e42d2a0e063,ring,Oura-Gen3,2.5.3,61,2024-11-14 23:30:50.905293+00:00,2025-06-12 07:06:32.010147+00:00,2025-06-12 06:32:32.010147+00:00
793f053e-bcb2-4c60-800e-5ae6ca89b678,c9623416-d4ac-414b-a188-a8bd2bcebc00,ring,Oura-Gen3,3.8.4,50,2025-04-06 06:34:33.906270+00:00,2025-06-12 07:06:32.010147+00:00,2025-06-12 06:07:32.010147+00:00
c85f82f7-3ebc-4abc-94af-79730e263cfb,c9623416-d4ac-414b-a188-a8bd2bcebc00,band,Whoop-4.0,2.2.9,24,2025-04-06 06:34:33.906270+00:00,2025-06-12 07:06:32.010147+00:00,2025-06-12 06:14:32.010147+00:00
346d819b-dc7f-489d-9d22-a42425bac60f,9c759449-fdf1-416f-95a6-419a5656ef73,ring,Oura-Gen3,3.7.5,24,2024-11-19 01:39:09.906270+00:00,2025-06-12 07:06:32.010147+00:00,2025-06-12 06:35:32.010147+00:00
fd43eb80-a528-4e9d-95c5-67e5416f1c67,a28d2f48-9aef-4a41-8174-9d9850c4472f,band,Whoop-4.0,3.0.8,98,2024-12-27 10:41:56.906270+00:00,2025-06-12 07:06:32.011111+00:00,2025-06-12 06:36:32.011111+00:00
125df8af-e90e-425f-a700-cc7147436dd6,a28d2f48-9aef-4a41-8174-9d9850c4472f,band,Mi-Band-9,3.0.8,32,2024-12-27 10:41:56.906270+00:00,2025-06-12 07:06:32.011111+00:00,2025-06-12 06:44:32.011111+00:00
fe11183e-9bd9-47fe-8a67-ebead0121ec0,5e3765f2-fec3-4297-a782-339c1d3ab58b,ring,Oura-Gen3,2.9.7,86,2024-06-22 15:15:25.907267+00:00,2025-06-12 07:06:32.011111+00:00,2025-06-12 06:26:32.011111+00:00
2ebe36e2-5196-4e44-b15e-162f98407812,5e3765f2-fec3-4297-a782-339c1d3ab58b,watch,Pixel-Watch,3.9.0,22,2024-06-22 15:15:25.907267+00:00,2025-06-12 07:06:32.011111+00:00,2025-06-12 06:33:32.011111+00:00
03d99453-aaa3-4f66-8f63-c026e939563d,5e3765f2-fec3-4297-a782-339c1d3ab58b,band,Mi-Band-9,2.1.6,27,2024-06-22 15:15:25.907267+00:00,2025-06-12 07:06:32.011111+00:00,2025-06-12 06:28:32.011111+00:00
69e530a5-b2e8-441b-a254-754b29a9b70f,68fde5f7-630c-4a1c-8efd-d344c0977a5c,ring,Oura-Gen3,1.0.1,30,2024-11-13 17:00:06.907267+00:00,2025-06-12 07:06:32.011111+00:00,2025-06-12 07:05:32.011111+00:00
427280e5-08c1-4fab-b263-5ed49f69e8ab,23e8d27e-f257-4a0d-bfaf-ad5ceae20629,watch,Garmin-Fenix,1.3.9,41,2025-06-01 13:12:57.907267+00:00,2025-06-12 07:06:32.011111+00:00,2025-06-12 06:52:32.011111+00:00
982ba2dd-ef9c-4840-9574-6fdbeeda7faf,85f2d168-0855-46a6-b0e5-4ecae8d03716,ring,Oura-Gen3,3.5.7,23,2024-08-28 05:33:43.908299+00:00,2025-06-12 07:06:32.011111+00:00,2025-06-12 06:28:32.011111+00:00
1637d73f-dfc0-4234-9037-ee673f1e4886,85f2d168-0855-46a6-b0e5-4ecae8d03716,ring,Oura-Gen3,2.1.9,43,2024-08-28 05:33:43.908299+00:00,2025-06-12 07:06:32.011111+00:00,2025-06-12 06:28:32.011111+00:00
cda8f512-d89a-49e2-9d6b-42f4b0ca2731,5b54a673-484c-4aaa-ba44-c8de59ad91d5,band,Whoop-4.0,2.6.3,58,2025-02-02 13:38:49.908299+00:00,2025-06-12 07:06:32.011111+00:00,2025-06-12 06:29:32.011111+00:00
f7ccd76e-c5a1-4877-b0ac-d6005314e51b,5b54a673-484c-4aaa-ba44-c8de59ad91d5,watch,Pixel-Watch,3.5.8,83,2025-02-02 13:38:49.908299+00:00,2025-06-12 07:06:32.011111+00:00,2025-06-12 06:07:32.011111+00:00
