session_id,user_id,device_id,start_ts,end_ts,sleep_quality_score,sleep_stage_seq,avg_hr_bpm,efficiency_pct
aa9be398-3767-4f95-ad00-fe8e06314dea,572de671-d8a1-4492-86db-43e930c298f6,10a48f9e-5b23-480d-82f5-e4f4b3ca4402,2025-06-11 21:53:00,2025-06-12 05:01:00,74,"[{""stage"": ""light"", ""start"": 0, ""end"": 256.8}, {""stage"": ""deep"", ""start"": 256.8, ""end"": 342.40000000000003}, {""stage"": ""rem"", ""start"": 342.40000000000003, ""end"": 428}]",40,80.7
6cb03994-b06a-4b6b-8e3d-c1565ea97f50,572de671-d8a1-4492-86db-43e930c298f6,10a48f9e-5b23-480d-82f5-e4f4b3ca4402,2025-06-10 21:18:00,2025-06-11 04:56:00,68,"[{""stage"": ""light"", ""start"": 0, ""end"": 274.8}, {""stage"": ""deep"", ""start"": 274.8, ""end"": 366.40000000000003}, {""stage"": ""rem"", ""start"": 366.40000000000003, ""end"": 458}]",40,85.5
5ecc949e-30a1-4a78-890f-e63cacac2b66,572de671-d8a1-4492-86db-43e930c298f6,10a48f9e-5b23-480d-82f5-e4f4b3ca4402,2025-06-09 21:14:00,2025-06-10 05:42:00,67,"[{""stage"": ""light"", ""start"": 0, ""end"": 304.8}, {""stage"": ""deep"", ""start"": 304.8, ""end"": 406.40000000000003}, {""stage"": ""rem"", ""start"": 406.40000000000003, ""end"": 508}]",42,87.9
ada4ebbf-3277-4ddd-92cd-e3ec35d351b4,572de671-d8a1-4492-86db-43e930c298f6,10a48f9e-5b23-480d-82f5-e4f4b3ca4402,2025-06-08 22:01:00,2025-06-09 05:48:00,92,"[{""stage"": ""light"", ""start"": 0, ""end"": 280.2}, {""stage"": ""deep"", ""start"": 280.2, ""end"": 373.6}, {""stage"": ""rem"", ""start"": 373.6, ""end"": 467}]",42,93.3
f348f312-ce90-4463-9905-a7f6a6fc275a,572de671-d8a1-4492-86db-43e930c298f6,10a48f9e-5b23-480d-82f5-e4f4b3ca4402,2025-06-07 22:25:00,2025-06-08 06:20:00,85,"[{""stage"": ""light"", ""start"": 0, ""end"": 285.0}, {""stage"": ""deep"", ""start"": 285.0, ""end"": 380.0}, {""stage"": ""rem"", ""start"": 380.0, ""end"": 475}]",40,91.6
37bef7ca-bef2-46a9-956d-67b77e4d82f1,572de671-d8a1-4492-86db-43e930c298f6,10a48f9e-5b23-480d-82f5-e4f4b3ca4402,2025-06-06 22:51:00,2025-06-07 05:27:00,95,"[{""stage"": ""light"", ""start"": 0, ""end"": 237.6}, {""stage"": ""deep"", ""start"": 237.6, ""end"": 316.8}, {""stage"": ""rem"", ""start"": 316.8, ""end"": 396}]",40,95.2
ac71b7cd-c7a5-4bc1-943b-1495b3bc25c7,572de671-d8a1-4492-86db-43e930c298f6,10a48f9e-5b23-480d-82f5-e4f4b3ca4402,2025-06-05 21:56:00,2025-06-06 05:19:00,91,"[{""stage"": ""light"", ""start"": 0, ""end"": 265.8}, {""stage"": ""deep"", ""start"": 265.8, ""end"": 354.40000000000003}, {""stage"": ""rem"", ""start"": 354.40000000000003, ""end"": 443}]",44,86.8
c58d2749-0495-436b-baff-2abead8768aa,572de671-d8a1-4492-86db-43e930c298f6,10a48f9e-5b23-480d-82f5-e4f4b3ca4402,2025-06-04 22:53:00,2025-06-05 05:15:00,88,"[{""stage"": ""light"", ""start"": 0, ""end"": 229.2}, {""stage"": ""deep"", ""start"": 229.2, ""end"": 305.6}, {""stage"": ""rem"", ""start"": 305.6, ""end"": 382}]",41,87.6
a1fd180a-311d-49eb-83a3-7e7ff07fba74,572de671-d8a1-4492-86db-43e930c298f6,10a48f9e-5b23-480d-82f5-e4f4b3ca4402,2025-06-03 22:43:00,2025-06-04 07:32:00,94,"[{""stage"": ""light"", ""start"": 0, ""end"": 317.4}, {""stage"": ""deep"", ""start"": 317.4, ""end"": 423.20000000000005}, {""stage"": ""rem"", ""start"": 423.20000000000005, ""end"": 529}]",43,91.7
46d6e347-6b57-40a6-93b0-adebadcb67fc,572de671-d8a1-4492-86db-43e930c298f6,10a48f9e-5b23-480d-82f5-e4f4b3ca4402,2025-06-02 22:46:00,2025-06-03 07:07:00,61,"[{""stage"": ""light"", ""start"": 0, ""end"": 300.59999999999997}, {""stage"": ""deep"", ""start"": 300.59999999999997, ""end"": 400.8}, {""stage"": ""rem"", ""start"": 400.8, ""end"": 501}]",45,85.1
